
 
 TABLE3 
 
             P    A    B    C
Pbest      0.2 47.7 31.9 20.2
SUCRA      3.2 75.3 65.7 55.8
Pscore     3.2 75.2 65.7 55.9
MeanRank   3.9  1.7  2.0  2.3
MedianRank 4.0  2.0  2.0  2.0
Pbest      0.0 25.9 33.2 40.8
SUCRA      2.7 66.7 66.1 64.5
Pscore     2.7 66.6 66.1 64.6
MeanRank   3.9  2.0  2.0  2.1
MedianRank 4.0  2.0  2.0  2.0
